target,projectile,energy,yield
Be,H,71.735901610996700000,0.002114478394980080
Be,H,31.674728347177400000,0.004148453045435310
Be,H,155.291583674035000000,0.003505221340921040
Be,H,155.253622585321000000,0.003996004938306760
Be,H,61.549511251693100000,0.009453872831307950
Be,H,51.815683396455500000,0.011188722115874200
Be,H,61.493645380678500000,0.015381258460038900
Be,H,100.722064934640000000,0.021144783949800800
Be,H,105.172617279092000000,0.018203822895934300
Be,H,81.182390823950000000,0.033764108294755700
Be,H,102.801141516087000000,0.037077094260385700
Be,H,209.112410492047000000,0.018898301102501400
Be,H,307.589656241942000000,0.027999770492313900
Be,H,335.525114600319000000,0.016269796235360300
Be,H,526.787818606598000000,0.015968055466971900
Be,H,1048.095951821070000000,0.011615573317032900
Be,H,1003.218337106770000000,0.017866213535081500
Be,H,1047.071497669140000000,0.019619273742801200
Be,H,981.488209322398000000,0.022366266531295600
Be,H,1002.938071009840000000,0.020752631321450600
Be,H,2696.235337625780000000,0.012996342206084500
Be,H,3134.239244142790000000,0.011835067295194700
Be,H,3133.035353066760000000,0.014541246146668700
Be,D,40.42042725,0.004189047
Be,D,60.6635882,0.003927185
Be,D,52.12726278,0.005656849
Be,D,51.33966731,0.005959654
Be,D,93.59312828,0.007067771
Be,D,103.9703542,0.007161785
Be,D,155.7498139,0.011021225
Be,D,263.0457756,0.018344643
Be,D,310.0874941,0.022607617
Be,D,100.5708242,0.016717753
Be,D,103.527785,0.022274772
Be,D,101.9185892,0.026389928
Be,D,31.63066045,0.014838145
Be,D,27.96788625,0.031609848
Be,D,52.5597154,0.034218049
Be,D,61.96225563,0.041623298
Be,D,64.68639378,0.071989309
Be,D,91.3914559,0.072975515
Be,D,104.5967213,0.078933006
Be,D,103.1224875,0.063234678
Be,D,103.2084803,0.050659702
Be,D,95.78911323,0.043883611
Be,D,108.0369435,0.042762096
Be,D,114.7586774,0.040066388
Be,D,103.3198714,0.038023191
Be,D,218.8657589,0.046903941
Be,D,318.4074031,0.058582539
Be,D,318.7041714,0.045724289
Be,D,343.8780949,0.036161233
Be,D,349.2048488,0.03300684
Be,D,314.3354852,0.033001176
Be,D,539.5276019,0.040695007
Be,D,1059.750943,0.05571381
Be,D,1060.582654,0.045220406
Be,D,1077.116954,0.040213014
Be,D,1061.51911,0.035758352
Be,D,1128.116639,0.029407354
Be,D,1015.420334,0.029788298
Be,D,1015.918336,0.02614586
Be,D,1545.896204,0.033961477
Be,D,3182.43643,0.028326817
Be,D,3137.120232,0.023598656
Be,D,2155.748357,0.02043215
Be,D,2700.837567,0.020439665
Be,D,3188.371508,0.017256603
Be,D,3189.935209,0.015146509
Be,D,5485.437879,0.011378415
Be,He,31.56947011,0.011341218
Be,He,53.67051581,0.038906549
Be,He,103.2151835,0.039455111
Be,He,131.7107927,0.02796584
Be,He,299.1500323,0.056491885
Be,He,509.3172543,0.064534121
Be,He,204.3900649,0.095927979
Be,He,104.6942811,0.082855209
Be,He,125.5372581,0.169477681
Be,He,125.464776,0.262413178
Be,He,303.0972386,0.276975533
Be,He,298.585132,0.236259364
Be,He,210.6214439,0.128393365
Be,He,303.3466566,0.148599053
Be,He,298.841297,0.123440082
Be,He,524.5604842,0.130242389
Be,He,457.2491063,0.183772684
Be,He,398.6588113,0.221189644
Be,He,601.0018735,0.246036679
Be,He,754.8748658,0.280964325
Be,He,905.8558132,0.320833493
Be,He,609.9452001,0.342650001
Be,He,755.1920027,0.204438003
Be,He,1008.601903,0.152800213
Be,He,1520.766888,0.150860466
Be,He,1055.889377,0.132085674
Be,He,2158.729832,0.102776082
Be,He,3016.377594,0.106984403
Be,He,4090.209154,0.08102968
Be,He,5296.081692,0.092535984
Be,O,155.5200737,0.038442207
Be,O,207.7401203,0.080753702
Be,O,313.6710278,0.142816764
Be,O,519.3864352,0.172021836
Be,O,1032.60874,0.320887494
Be,O,3102.81068,0.510838404
Be,O,10386.28914,0.403013898
Be,Ne,52.42726419,0.003777771
Be,Ne,72.6120353,0.016802671
Be,Ne,102.0023285,0.012032819
Be,Ne,103.4570636,0.051608699
Be,Ne,201.2857537,0.101590107
Be,Ne,149.5070756,0.166529256
Be,Ne,210.0212421,0.202730481
Be,Ne,303.5042813,0.265751382
Be,Ne,303.5042813,0.366278147
Be,Ne,408.616701,0.357121537
Be,Ne,527.250767,0.491942358
Be,Ne,457.632232,0.516990163
Be,Ne,607.4602089,0.556381847
Be,Ne,598.9185627,0.599156778
Be,Ne,751.2227951,0.703067917
Be,Ne,903.0661364,0.756798455
Be,Ne,1011.393246,0.766008919
Be,Ne,2082.443301,1.04120895
Be,Ne,5227.898935,1.09173491
Be,Ne,10463.57754,1.117350234
Be,Ar,107.8448189,0.020804609
Be,Ar,82.67277389,0.050717169
Be,Ar,104.547872,0.075196982
Be,Ar,217.9131201,0.133080459
Be,Ar,155.3607808,0.151247304
Be,Ar,208.4250123,0.182927317
Be,Ar,314.4045021,0.292619923
Be,Ar,309.7751628,0.323979122
Be,Ar,415.5533717,0.412294418
Be,Ar,467.3800672,0.444880964
Be,Ar,549.386219,0.473928665
Be,Ar,626.9854452,0.55899687
Be,Ar,781.3499725,0.797800426
Be,Ar,617.5228155,0.829267585
Be,Ar,931.8524712,1.002703922
Be,Ar,1079.647338,0.871481035
Be,Ar,2153.942365,1.195959877
Be,Ar,5357.533476,1.661454588
Be,Ar,10850.35352,1.76780958
Be,Ar,21336.84916,1.95427352
Be,Ar,53882.95949,1.877248017
Be,Ar,106002.0442,1.509904856
Be,Kr,99.24012193,0.030595143
Be,Kr,151.8333367,0.045462812
Be,Kr,208.9741534,0.089179279
Be,Kr,145.2356533,0.103178971
Be,Kr,196.8431546,0.172711073
Be,Kr,292.1221219,0.230895233
Be,Kr,296.6024552,0.240230951
Be,Kr,504.5536122,0.321111364
Be,Kr,440.2450733,0.366546383
Be,Kr,395.9237191,0.386495071
Be,Kr,587.4930153,0.471037091
Be,Kr,737.7985539,0.581821771
Be,Kr,587.7079104,0.621735999
Be,Kr,858.8996552,0.72828802
Be,Kr,1014.877561,0.737837101
Be,Kr,2040.686439,1.318850095
Be,Kr,5150.831632,2.064960443
Be,Xe,211.5602941,0.010330309
Be,Xe,306.8953107,0.120869145
Be,Xe,206.5540051,0.120978583
Be,Xe,531.4494691,0.167736476
Be,Xe,307.4620065,0.242756441
Be,Xe,463.9623531,0.269449022
Be,Xe,404.6647233,0.303417709
Be,Xe,610.897062,0.394382638
Be,Xe,611.0246612,0.426779248
Be,Xe,756.5931596,0.512850959
Be,Xe,1073.710476,0.47354142
Be,Xe,936.8414167,0.616281384
Be,Xe,2135.215417,1.068959561
Be,Xe,5332.301871,1.878309054
Be,Xe,10749.10854,2.28446987
B,H,51.98745361,0.001813776
B,H,105.2526338,0.007986574
B,H,210.3770113,0.012006022
B,H,527.6350991,0.010480603
B,H,1055.636016,0.007235059
B,H,2112.164181,0.004695413
B,H,5299.574701,0.002936373
B,H,15314.17994,0.00215621
B,H,30210.51463,0.001416732
B,D,31.51723608,0.001220556
B,D,20.19790527,0.004531503
B,D,30.90043747,0.011331575
B,D,41.00986001,0.024724763
B,D,82.41611667,0.02698314
B,D,106.5608327,0.022416474
B,D,53.12661351,0.009416688
B,D,211.031388,0.029093075
B,D,406.455562,0.028755397
B,D,533.0402649,0.024488011
B,D,1041.072696,0.027393858
B,D,1087.505064,0.019131966
B,D,2036.545416,0.016098439
B,D,2157.244429,0.012725068
B,D,5376.794609,0.007388009
B,D,8252.124082,0.005098438
B,D,10820.47077,0.004619053
B,He,49.78031596,0.025094497
B,He,80.60747428,0.060835559
B,He,101.0195692,0.03808371
B,He,103.9446578,0.046948512
B,He,210.9452476,0.073930785
B,He,304.7060344,0.074787891
B,He,529.1787583,0.101626823
B,He,1058.048507,0.087537388
B,He,2115.383177,0.072666807
B,He,5301.93138,0.048307206
B,He,10598.20136,0.034169284
B,He,30582.90668,0.014940414
B,He,50142.92899,0.009233092
B,He,70387.90976,0.007212407
B,He,100211.0908,0.005496738
B,He,151004.1468,0.004915818
B,B,107.2195898,0.028940506
B,B,155.5555969,0.110560097
B,B,212.8905089,0.141348248
B,B,308.6622499,0.318186812
B,B,530.4182997,0.310275299
B,B,1066.550361,0.406391358
B,B,1036.774914,0.471042579
B,B,2084.908576,0.664214983
B,B,2175.068027,0.476494899
B,B,3151.824722,0.688878391
B,B,5413.097036,0.420936324
B,B,10283.21607,0.63124902
B,B,10877.38242,0.324872623
C,H,51.68233658,0.000309185
C,H,20.12940378,0.004994638
C,H,29.89244416,0.008047086
C,H,50.13397041,0.004674502
C,H,50.90226648,0.007334364
C,H,80.33184001,0.004928903
C,H,104.0334621,0.004994638
C,H,972.9957971,0.00234715
C,H,2211.98427,0.002285774
C,H,2908.522254,0.001707855
C,H,2908.522254,0.002609581
C,H,2998.350715,0.003141399
C,H,2953.094949,0.003539214
C,H,4002.928263,0.00335654
C,H,1003.046355,0.034103293
C,H,2908.522254,0.026514
C,H,46.46297364,0.025145501
C,H,45.76168228,0.016240032
C,H,45.76168228,0.014224909
C,H,100.9166933,0.014224909
C,H,99.39350186,0.010350462
C,H,102.4632275,0.009066138
C,H,121.1220603,0.008598196
C,H,197.0533778,0.008373362
C,H,212.6223838,0.008946818
C,H,200.0731932,0.014224909
C,H,251.3414989,0.009433732
C,H,288.2102215,0.01197432
C,H,306.2876307,0.009433732
C,H,340.6940878,0.009433732
C,H,310.9814457,0.008485035
C,H,301.6646621,0.007334364
C,H,607.2329788,0.006864261
C,H,655.2098974,0.007836663
C,H,655.2098974,0.00826316
C,H,521.5610511,0.01105932
C,H,505.9354518,0.012794389
C,H,972.9957971,0.015815372
C,H,1203.874573,0.014037693
C,H,1988.59753,0.013137933
C,H,2386.751111,0.019038458
C,H,3653.82454,0.017123867
C,H,4952.769135,0.014801669
C,H,7134.582432,0.015401816
C,H,8057.65593,0.012626001
C,H,10757.32018,0.011206814
C,H,9670.945958,0.009433732
C,H,3942.509852,0.013137933
C,H,3044.30002,0.015199111
C,H,3044.30002,0.012794389
C,H,2019.072508,0.009309574
C,H,987.9068213,0.01105932
C,H,1034.025011,0.009559546
C,H,1018.417899,0.008598196
C,H,1049.871299,0.007941178
C,H,1034.025011,0.007237836
C,H,1003.046355,0.006596789
C,H,1003.046355,0.005933387
C,H,1018.417899,0.004492355
C,H,1003.046355,0.004994638
C,H,1708.034732,0.004040584
C,H,2019.072508,0.004433231
C,H,2019.072508,0.004928903
C,H,1958.582527,0.00555308
C,H,1958.582527,0.006596789
C,H,1988.59753,0.007631742
C,D,53.64161308,0.000360709
C,D,151.2590153,0.006023516
C,D,71.00665298,0.013963984
C,D,59.82858412,0.017880732
C,D,83.01107776,0.021513188
C,D,20.53683969,0.029341061
C,D,20.52930572,0.039466749
C,D,20.53181674,0.035753029
C,D,30.16339702,0.03754852
C,D,31.03771226,0.035298437
C,D,104.3082634,0.015599597
C,D,123.7493827,0.016590435
C,D,129.1360999,0.018540489
C,D,120.2468844,0.019723249
C,D,105.7631098,0.021507598
C,D,104.2508702,0.024335859
C,D,105.7178452,0.030395319
C,D,123.6604946,0.029648589
C,D,123.6415905,0.033546883
C,D,80.63817512,0.032341259
C,D,81.77913317,0.03797457
C,D,62.38612459,0.036603665
C,D,58.94158566,0.03117515
C,D,49.66966775,0.035719156
C,D,51.09845304,0.039918226
C,D,51.09220375,0.044064591
C,D,51.08595523,0.048641645
C,D,212.5589522,0.024619517
C,D,255.7753312,0.027851035
C,D,259.4855504,0.024614248
C,D,303.5584544,0.022020654
C,D,303.4934889,0.026178069
C,D,299.108296,0.0335151
C,D,344.7444325,0.049756311
C,D,365.3266418,0.02228993
C,D,360.2902989,0.016571423
C,D,529.1829531,0.020946526
C,D,529.1101453,0.023409672
C,D,528.9807341,0.02852544
C,D,506.6904064,0.036521495
C,D,513.781068,0.048521323
C,D,528.528044,0.056972062
C,D,673.4716407,0.051597725
C,D,6052.224086,0.016118163
C,D,3374.131106,0.017369073
C,D,1374.98092,0.017820692
C,D,8292.482396,0.004983244
C,D,8407.114032,0.007584189
C,D,5328.442882,0.00797225
C,D,4621.243813,0.007403864
C,D,4123.006583,0.007974444
C,D,2109.628905,0.010867579
C,D,2079.401078,0.012604256
C,D,2139.314728,0.013573531
C,D,2049.575036,0.014800161
C,D,2020.269463,0.016746391
C,D,2048.791823,0.020155185
C,D,2048.384671,0.023666246
C,D,2047.695828,0.031056699
C,D,1019.637028,0.014811253
C,D,1034.111408,0.016758428
C,D,1019.356473,0.018499434
C,D,1094.561484,0.019434998
C,D,1004.827427,0.020170598
C,D,1033.732042,0.022541812
C,D,1033.605618,0.024883263
C,D,1048.310344,0.027467505
C,D,1048.150088,0.031079022
C,D,1047.957812,0.036045007
C,D,989.9301935,0.035167545
C,D,1033.0369,0.038818669
C,D,1032.831607,0.045580934
C,He,52.34034571,0.003720959
C,He,101.6792512,0.007972395
C,He,61.23114103,0.014772011
C,He,103.2470123,0.021087956
C,He,200.3797487,0.020545812
C,He,301.8915081,0.036168614
C,He,209.2610101,0.048047078
C,He,195.0397943,0.055024472
C,He,147.0959602,0.057837344
C,He,100.5425861,0.082726001
C,He,255.1256961,0.081551021
C,He,297.8282832,0.057043402
C,He,357.958188,0.08455856
C,He,406.2276741,0.057005541
C,He,523.8269634,0.071992153
C,He,611.8736078,0.082407049
C,He,594.9479038,0.094365653
C,He,595.0646244,0.110747131
C,He,495.5315538,0.150727453
C,He,756.1237943,0.085469369
C,He,1016.678979,0.072780782
C,He,1016.080838,0.045025767
C,He,1972.49542,0.054082753
C,He,2970.007116,0.058899519
C,He,3938.276357,0.058863979
C,He,5148.12177,0.05074925
C,He,10273.91197,0.037709041
C,He,6098.052186,0.051995709
C,He,8087.577882,0.060238802
C,He,6099.340577,0.061777968
C,He,6099.984875,0.067339002
C,He,5930.978034,0.074314494
C,He,5931.694054,0.082007612
C,He,5932.499681,0.091618332
C,He,6017.702209,0.103620353
C,He,3940.059592,0.085168108
C,He,3056.62196,0.090625584
C,He,3057.406164,0.111727395
C,He,3057.72913,0.1217847
C,He,3058.098276,0.134391984
C,He,2117.436815,0.072666654
C,He,2001.549127,0.082198404
C,He,2001.820972,0.091831484
C,He,2002.243915,0.109108282
C,He,2002.606509,0.126481985
C,He,1947.915542,0.194634656
C,He,1765.102077,0.231301278
C,He,1469.55302,0.264954803
C,He,1258.259936,0.25859541
C,He,1018.352574,0.278549826
C,He,757.1056688,0.246434972
C,C,104.4628342,0.012795171
C,C,70.21832391,0.020448286
C,C,214.4509898,0.080233582
C,C,102.1478284,0.065924665
C,C,152.6400384,0.13636628
C,C,311.7372622,0.212370625
C,C,311.8656926,0.237287098
C,C,536.0859667,0.255353695
C,C,610.1046192,0.343211369
C,C,1033.958081,0.373929399
C,C,1049.276115,0.422976232
C,C,1064.626171,0.455437855
C,C,2139.901968,0.449522241
C,C,3145.222015,0.502055789
C,C,5480.096676,0.443568413
C,C,5476.085274,0.364173087
C,C,10856.19435,0.406602
C,C,10264.14444,0.520309754
C,C,104321.0974,0.191233913
C,O,49.71843078,0.76756026
C,O,149.7521735,0.936587824
C,O,151.9119854,0.720130679
C,O,600.6299237,1.114242642
C,O,744.544307,0.824980337
C,O,3029.306966,0.969244449
C,O,2986.237729,1.18412242
C,O,5937.8858,1.722327031
C,O,9942.885491,1.097034019
C,O,20345.00081,0.943332332
C,Ne,101.2017605,0.003326385
C,Ne,207.2392988,0.040139368
C,Ne,153.7341773,0.043419503
C,Ne,153.7341773,0.102264626
C,Ne,625.7031665,0.185204669
C,Ne,515.3025087,0.197709217
C,Ne,616.4292931,0.273385774
C,Ne,1039.587908,0.363310251
C,Ne,2097.298188,0.514978165
C,Ne,3138.755291,0.570807718
C,Ne,3138.755291,0.820966124
C,Ne,5214.952106,0.683770518
C,Ne,10520.81264,0.691608133
C,Ne,10520.81264,1.162356196
C,Ne,20910.43968,0.79651548
C,Ar,399.4726616,0.102089803
C,Ar,150.2602004,0.059448707
C,Ar,148.2057071,0.081881585
C,Ar,501.8477575,0.367304396
C,Ar,594.6851859,0.312916576
C,Ar,594.7662526,0.349588267
C,Ar,1005.065317,0.608071813
C,Ar,1516.773591,1.22624304
C,Ar,2992.207934,0.957875576
C,Ar,2991.573543,0.806200175
C,Ar,9970.721302,0.921949736
C,Ar,10117.36413,1.317591173
C,Ar,9036.189923,1.644711978
C,Ar,20264.79899,2.407077732
C,Ar,30559.05305,2.622602499
C,Ar,40004.54211,3.272382445
C,Kr,214.8296278,0.002860872
C,Kr,102.3088632,0.005052945
C,Kr,205.8291191,0.045095721
C,Kr,152.5440565,0.054286754
C,Kr,152.5440565,0.058467873
C,Kr,311.3039523,0.092390721
C,Kr,535.3336404,0.086851137
C,Kr,408.2296878,0.122786735
C,Kr,617.4224318,0.186960907
C,Kr,617.4224318,0.206402693
C,Kr,1077.005923,0.270936729
C,Kr,2136.071872,0.605277998
C,Kr,3095.325458,0.775115235
C,Kr,3051.480035,0.992607742
C,Kr,5399.356551,1.151395399
C,Kr,10708.77458,1.438449888
C,Kr,10407.54274,1.240074867
C,Kr,10407.54274,1.017463403
C,Kr,45889.15251,2.770351712
C,Kr,30341.16261,3.916614691
C,Cd,100.8446287,0.010350691
C,Cd,314.7267563,0.011408314
C,Cd,149.8427603,0.020116641
C,Cd,195.6852267,0.051268263
C,Cd,299.5280121,0.071455538
C,Cd,514.7233277,0.060106038
C,Cd,402.7890505,0.145901159
C,Cd,498.3872626,0.167025719
C,Cd,1028.107229,0.263213391
C,Cd,2058.232814,0.62275485
C,Cd,5176.743242,1.286461314
C,Cd,10382.12129,1.882993808
C,Cd,52527.47309,2.526027587
C,Cd,20834.98525,2.319714012
